movie_id,title,year,release_date,revenue,budget,runtime,genres,popularity,vote_average,vote_count,original_language,type,cast
9339,Click,2006,2006-06-23,240685326,82500000,107,"['Comedy', 'Drama', 'Fantasy']",10.5005,6.293,7139,en,commercial,"['Adam Sandler', 'Kate Beckinsale', 'Christopher Walken', 'David Hasselhoff', 'Henry Winkler']"
9502,Kung Fu Panda,2008,2008-06-04,632091832,130000000,90,"['Action', 'Adventure', 'Animation', 'Family', 'Comedy']",17.3947,7.297,11871,en,commercial,"['Jack Black', 'Angelina Jolie', 'Dustin Hoffman', 'Ian McShane', 'Jackie Chan']"
9522,Wedding Crashers,2005,2005-07-13,288500000,40000000,119,"['Comedy', 'Romance']",7.0077,6.488,4438,en,commercial,"['Owen Wilson', 'Vince Vaughn', 'Christopher Walken', 'Rachel McAdams', 'Isla Fisher']"
9543,Prince of Persia: The Sands of Time,2010,2010-05-19,336365676,200000000,116,"['Adventure', 'Fantasy', 'Action']",7.9494,6.3,6829,en,commercial,"['Jake Gyllenhaal', 'Gemma Arterton', 'Ben Kingsley', 'Alfred Molina', 'Steve Toussaint']"
9675,Sideways,2004,2004-10-22,109502303,16000000,127,"['Comedy', 'Drama', 'Romance']",4.1125,7.097,1712,en,oscar,
9701,North Country,2005,2005-02-12,25224242,35000000,126,['Drama'],3.785,7.246,674,en,oscar,
9738,Fantastic Four,2005,2005-06-29,333535934,100000000,106,"['Action', 'Fantasy', 'Science Fiction']",15.7712,5.784,9453,en,commercial,"['Ioan Gruffudd', 'Jessica Alba', 'Chris Evans', 'Michael Chiklis', 'Julian McMahon']"
9767,The Break-Up,2006,2006-06-01,205700000,52000000,106,"['Romance', 'Comedy']",5.8881,5.895,2700,en,commercial,"['Jennifer Aniston', 'Vince Vaughn', 'Joey Lauren Adams', 'Ann-Margret', 'Jason Bateman']"
9801,Bridget Jones: The Edge of Reason,2004,2004-11-10,265126918,40000000,108,"['Comedy', 'Romance']",6.318,6.228,2878,en,commercial,"['Renée Zellweger', 'Colin Firth', 'Hugh Grant', 'Jacinda Barrett', 'Jim Broadbent']"
9806,The Incredibles,2004,2004-10-27,631442092,92000000,115,"['Action', 'Adventure', 'Animation', 'Family']",20.5361,7.709,17950,en,commercial,"['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell', 'Spencer Fox', 'Jason Lee']"
9836,Happy Feet,2006,2006-11-16,384335608,100000000,108,"['Animation', 'Comedy', 'Family']",9.8876,6.199,5177,en,commercial,"['Elijah Wood', 'Robin Williams', 'Brittany Murphy', 'Hugh Jackman', 'Nicole Kidman']"
9928,Robots,2005,2005-03-10,262511490,75000000,90,"['Animation', 'Comedy', 'Family', 'Science Fiction']",12.0733,6.46,4643,en,commercial,"['Ewan McGregor', 'Robin Williams', 'Halle Berry', 'Amanda Bynes', 'Mel Brooks']"
9982,Chicken Little,2005,2005-11-04,314400000,150000000,81,"['Animation', 'Family', 'Comedy']",9.6197,5.896,3949,en,commercial,"['Zach Braff', 'Garry Marshall', 'Don Knotts', 'Amy Sedaris', 'Steve Zahn']"
10022,The Pacifier,2005,2005-03-04,198636868,56000000,95,"['Comedy', 'Family', 'Action']",6.5303,6.1,3074,en,commercial,"['Vin Diesel', 'Lauren Graham', 'Faith Ford', 'Brittany Snow', 'Max Thieriot']"
